収集日,機種名,台番号,G数,差枚,BB,RB,BB確率,RB確率,合成確率,推定設定,信頼度,備考
2026-07-06,ゴーゴージャグラー3,2176,5997,-100,23,16,1/260.7,1/374.8,1/153.8,2,低,特記事項なし
2026-07-06,ゴーゴージャグラー3,2229,6998,-1085,25,18,1/279.9,1/388.8,1/162.7,1,中,特記事項なし
2026-07-06,ゴーゴージャグラー3,2230,6005,2012,32,14,1/187.7,1/428.9,1/130.5,1,中,特記事項なし
2026-07-06,ゴーゴージャグラー3,2231,3421,-1685,7,9,1/488.7,1/380.1,1/213.8,1,低,REG優勢で高設定示唆
2026-07-06,ゴーゴージャグラー3,2232,6629,-3000,14,24,1/473.5,1/276.2,1/174.4,4,中,REG優勢で高設定示唆
2026-07-06,ゴーゴージャグラー3,2233,7131,406,28,28,1/254.7,1/254.7,1/127.3,5,中,特記事項なし
2026-07-06,ゴーゴージャグラー3,2234,5064,1209,25,17,1/202.6,1/297.9,1/120.6,4,低,特記事項なし
2026-07-06,ゴーゴージャグラー3,2235,6956,112,23,29,1/302.4,1/239.9,1/133.8,5,中,REG優勢で高設定示唆
2026-07-06,ゴーゴージャグラー3,2236,4717,112,18,17,1/262.1,1/277.5,1/134.8,4,低,特記事項なし
2026-07-06,ゴーゴージャグラー3,2237,7579,512,32,22,1/236.8,1/344.5,1/140.4,3,中,特記事項なし
2026-07-06,ジャグラーガールズ,2238,6894,-394,23,25,1/299.7,1/275.8,1/143.6,4,中,REG優勢で高設定示唆
2026-07-06,ジャグラーガールズ,2239,5298,1403,23,19,1/230.3,1/278.8,1/126.1,5,低,特記事項なし
2026-07-06,ジャグラーガールズ,2240,6108,112,21,17,1/290.9,1/359.3,1/160.7,2,中,特記事項なし
2026-07-06,ジャグラーガールズ,2241,4623,-100,16,15,1/288.9,1/308.2,1/149.1,3,低,特記事項なし
2026-07-06,ジャグラーガールズ,2242,7249,6,23,27,1/315.2,1/268.5,1/145.0,4,中,REG優勢で高設定示唆
2026-07-06,ジャグラーガールズ,2243,5379,-300,20,15,1/268.9,1/358.6,1/153.7,2,低,特記事項なし
2026-07-06,ジャグラーガールズ,2244,4982,512,20,11,1/249.1,1/452.9,1/160.7,1,低,特記事項なし
2026-07-06,ジャグラーガールズ,2245,7711,309,30,22,1/257.0,1/350.5,1/148.3,2,中,特記事項なし
2026-07-06,ハッピージャグラーVIII,2025,6154,806,28,16,1/219.8,1/384.6,1/139.9,2,中,特記事項なし
2026-07-06,ハッピージャグラーVIII,2026,7913,2224,35,33,1/226.1,1/239.8,1/116.4,6,中,特記事項なし
2026-07-06,ハッピージャグラーVIII,2027,7360,2506,36,24,1/204.4,1/306.7,1/122.7,5,中,特記事項なし
2026-07-06,ハッピージャグラーVIII,2028,6458,-900,21,20,1/307.5,1/322.9,1/157.5,3,中,特記事項なし
2026-07-06,ハッピージャグラーVIII,2029,6189,-900,22,14,1/281.3,1/442.1,1/171.9,1,中,特記事項なし
2026-07-06,ウルトラミラクルジャグラー,2143,4472,503,20,7,1/223.6,1/638.9,1/165.6,1,低,特記事項なし
2026-07-06,ウルトラミラクルジャグラー,2144,4189,-1597,10,12,1/418.9,1/349.1,1/190.4,1,低,REG優勢で高設定示唆
2026-07-06,ウルトラミラクルジャグラー,2145,7774,1703,38,20,1/204.6,1/388.7,1/134.0,4,中,特記事項なし
2026-07-06,ミスタージャグラー,2146,6592,909,26,20,1/253.5,1/329.6,1/143.3,3,中,特記事項なし
2026-07-06,ミスタージャグラー,2147,4155,-994,16,6,1/259.7,1/692.5,1/188.9,1,低,特記事項なし
2026-07-06,ミスタージャグラー,2148,7563,-900,23,25,1/328.8,1/302.5,1/157.6,3,中,REG優勢で高設定示唆
